"Chinook Salmon, Kenai River, Oct. 1998"
"total fish length mm =" 775
"fish mass g =" 00
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         775
      658.000      20.2679     -62.8955      54.4179
      659.000      19.4625     -62.6941      53.7888
      660.000      18.6570     -62.4928      53.7888
      661.000      17.8515     -62.0900      53.7888
      662.000      17.0461     -61.8887      53.7888
      663.000      16.2119     -61.8887      53.7888
      664.000      15.1475     -61.6873      53.2383
      665.000      13.9106     -61.2846      51.5869
      666.000      13.1051     -61.0832      49.9354
      667.000      12.7024     -60.8818      49.3850
      668.000      12.0983     -60.4791      49.3850
      669.000      11.2928     -60.2778      49.3850
      670.000      10.4586     -60.2778      49.3850
      671.000      9.79697     -60.2778      49.3850
      672.000      9.36547     -60.2778      49.3850
      673.000      8.76139     -60.2778      49.3850
      674.000      8.15730     -60.2778      48.8345
      675.000      7.75458     -60.2778      47.7336
      676.000      7.15048     -60.2778      46.6327
      677.000      6.54638     -60.2778      45.5317
      678.000      6.34501     -60.2778      44.9813
      679.000      6.14364     -60.2778      44.9813
      680.000      5.74092     -60.2778      44.4308
      681.000      5.53956     -60.2778      43.3298
